#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
658		SINT-NIKLAAS	Sint-Niklaas									100500000	5	644	
35311		SINT-NIKLAAS	Sint-Niklaas	51.1666666	4.1124999		9100,9111,9112					100600000	6	658	
34627		SINT-NIKLAAS	Sint-Niklaas	51.1666667	4.1333333		9100					100600000	7	35311	
34628		SINT-PAUWELS	Sint-Pauwels	51.2	4.1		9170					100600000	7	35310	
34629		SINT-PIETERS-KAPELLE	Sint-Pieters-Kapelle	50.7	3.9833333		1541					100600000	7	35322	
34630		SINT-PIETERS-KAPELLE	Sint-Pieters-Kapelle	51.1333333	2.8666667		8433					100600000	7	35404	
35338		SINT-PIETERS-LEEUW	Sint-Pieters-Leeuw	50.7866666	4.2333333		1600					100600000	6	667	
34631		SINT-PIETERS-LEEUW	Sint-Pieters-Leeuw	50.7833333	4.2333333		1600					100600000	7	35338	
34632		SINT-PIETERS-RODE	Sint-Pieters-Rode	50.9333333	4.8166667		3220					100600000	7	35360	
34633		SINT-PIETERS-VOEREN	Sint-Pieters-Voeren	50.7333333	5.8166667		3792					100600000	7	35246	
34635		SINT-RIJKERS	Sint-Rijkers	51	2.7		8690					100600000	7	35419	
34636		SINT-STEVENS-WOLUWE	Sint-Stevens-Woluwe	50.8666667	4.45		1932					100600000	7	35343	
35217		SINT-TRUIDEN	Sint-Truiden	50.8022222	5.1844444		3800,3803,3806					100600000	6	650	
34637		SINT-TRUIDEN	Sint-Truiden	50.8	5.2		3800					100600000	7	35217	
34638		SINT-ULRIKS-KAPELLE	Sint-Ulriks-Kapelle	50.8833333	4.2166667		1700					100600000	7	35317	
34639		SIPPENAEKEN	Sippenaeken	50.75	5.9333333		4851					100600000	7	35584	
34640		SIRAULT	Sirault	50.5	3.7833333		7332					100600000	7	35490	
34641		SIVRY	Sivry	50.15	4.1833333		6470					100600000	7	35513	
35513		SIVRY-RANCE	Sivry-Rance	50.16	4.2166666		6470					100600000	6	674	
